tag_number,serial_number,device_name,device_model,device_ram,device_storage,device_department,device_directorate,device_office,officer_in_charge,status
TOG-1001,SN-679923,Tablet,Samsung Galaxy,8GB,1TB HDD,Finance,Administration,HQ,Alice Brown,In Repair
TOG-1002,SN-726912,Router,Lenovo ThinkPad,32GB,1TB HDD,HR,Planning,Branch B,Chris Green,In Stock
TOG-1003,SN-544346,Phone,Dell PowerEdge,4GB,512GB SSD,Finance,Technical,Branch B,Nancy White,Decommissioned
TOG-1004,SN-614954,Phone,Dell Latitude,16GB,512GB SSD,Procurement,Planning,HQ,Sarah Connor,In Repair
TOG-1005,SN-633775,Server,Dell PowerEdge,16GB,256GB SSD,HR,Corporate Services,HQ,David Lee,Active
TOG-1006,SN-588022,Desktop,Lenovo ThinkPad,4GB,1TB HDD,HR,Corporate Services,Branch A,Chris Green,In Stock
TOG-1007,SN-452763,Phone,Mikrotik RB750,32GB,2TB HDD,Finance,Technical,Branch A,Michael Johnson,In Stock
TOG-1008,SN-260123,Server,Samsung Galaxy,4GB,1TB HDD,Operations,Corporate Services,Branch A,Jane Smith,Active
TOG-1009,SN-613866,Laptop,Cisco 2900,16GB,1TB HDD,Procurement,Planning,Branch B,Sarah Connor,In Repair
TOG-1010,SN-880512,Switch,HP ProBook,4GB,256GB SSD,Logistics,Planning,Branch B,David Lee,Active
TOG-1011,SN-837889,Server,Lenovo ThinkPad,8GB,2TB HDD,Logistics,Technical,Branch A,Nancy White,In Stock
TOG-1012,SN-475267,Router,Dell Latitude,8GB,512GB SSD,Procurement,Planning,Field Office,John Doe,Decommissioned
TOG-1013,SN-728480,Desktop,iPad Air,4GB,512GB SSD,HR,Planning,HQ,Alice Brown,Decommissioned
TOG-1014,SN-661152,Tablet,iPad Air,8GB,1TB HDD,Finance,Corporate Services,Branch A,Michael Johnson,In Stock
TOG-1015,SN-292453,Desktop,Samsung Galaxy,4GB,512GB SSD,Procurement,Administration,Branch A,Chris Green,Decommissioned
TOG-1016,SN-434769,Desktop,Lenovo ThinkPad,16GB,512GB SSD,HR,Technical,Branch B,Sarah Connor,In Repair
TOG-1017,SN-701865,Tablet,iPad Air,4GB,256GB SSD,ICT,Planning,Branch A,David Lee,Decommissioned
TOG-1018,SN-228319,Tablet,Cisco 2900,16GB,256GB SSD,HR,Technical,Field Office,Chris Green,In Stock
TOG-1019,SN-229484,Router,Mikrotik RB750,32GB,512GB SSD,ICT,Administration,Field Office,David Lee,Active
TOG-1020,SN-906133,Printer,iPad Air,4GB,512GB SSD,ICT,Planning,Field Office,Nancy White,Decommissioned
TOG-1021,SN-216890,Laptop,HP ProBook,16GB,512GB SSD,Finance,Technical,HQ,Alice Brown,In Repair
TOG-1022,SN-611475,Laptop,iPad Air,8GB,1TB HDD,Logistics,Technical,Branch B,David Lee,In Stock
